name,diffusion_constant,external_concentration,permeability_constant
[X],[1e-9],"[25e-3, 25e-5, 25e-1, 25e1, 25e3]",[90e-3]
[Y],[1e-9],[0],[90e-3]
[Z],[1e-9],[0],[90e-3]
