start_species,end_species,ratio_endtostart_species,enzyme,k_cat,k_M,hill
[X],[Y],"[""1:1""]",[A],[1],[logspace:-3:1:5],[1]
[Y],[Z],"[""1:1""]",[B],[1],[logspace:-3:1:5],[1]
