start_species,end_species,ratio_endtostart_species,k
IPA_imine_dimer,CPA,1:1,1.0
PDVA,PDV,1:1,1.0
DVA,DV,1:1,1.0
PVA,PV,1:1,1.0
VA,Violacein,1:1,1.0
