iteration,X,Y,max_relative_change,max_Delta_u,F_vector_norm
2300,0.0875181147462722,0.08752022557295705,8.495623159309179e-27,1.1913572591632414e-15,9.567562784969488e-12
2400,0.08751945769347146,0.08752079512176653,8.495622515343458e-27,1.0068459711189889e-15,5.560160381479669e-12
2500,0.08752026144433309,0.08752109413521311,8.495622129929858e-27,3.344691418794849e-16,3.1101833196587525e-12
2600,0.08752071318960454,0.08752123687760338,8.495621913309352e-27,1.0484806356022081e-16,1.783926193289646e-12
2700,0.08752097580600582,0.08752130439127173,8.495621787379766e-27,4.064310087575266e-17,1.0261839642824105e-12
2800,0.08752113045735246,0.08752133434573763,8.495621713221454e-27,1.1948684340502693e-17,5.859749701367574e-13
2900,0.08752121990601852,0.08752134551450191,8.495621670329097e-27,6.660125506142995e-18,3.352028965268001e-13
3000,0.08752126874492938,0.08752134807855692,8.495621646909844e-27,-2.196479913156978e-18,1.9746655680710096e-13
3100,0.08752129924288427,0.08752134732265861,8.495621632285473e-27,-2.0859570577119827e-18,1.123888038393604e-13
3200,0.087521316053778,0.08752134545993155,8.495621624224303e-27,-1.6835486386810936e-18,6.515938010388596e-14
3300,0.0875213255347993,0.08752134354966683,8.495621619677965e-27,-1.2623076451032278e-18,3.8262261817151113e-14
3400,0.08752133096991298,0.08752134192688363,8.495621617071721e-27,-8.985450383555574e-19,2.2472698380756172e-14
3500,0.08752133404207675,0.08752134068759895,8.495621615598556e-27,-6.198290697862166e-19,1.3357489234847041e-14
3600,0.08752133572948305,0.08752133981969994,8.495621614789412e-27,-4.216929255022201e-19,8.083182127736668e-15
3700,0.08752133666783367,0.08752133922964,8.495621614339454e-27,-2.863873974941458e-19,5.013438231681117e-15
3800,0.08752133720493493,0.08752133882854547,8.495621614081903e-27,-1.7778424290180804e-19,3.16096825843141e-15
3900,0.0875213375239857,0.08752133855082307,8.495621613928912e-27,-1.0512820235598685e-19,2.0034634007175812e-15
4000,0.08752133771188393,0.08752133836254379,8.495621613838812e-27,-6.243233146975302e-20,1.280866206671654e-15
4100,0.08752133782341544,0.08752133823521613,8.49562161378533e-27,-3.695088890826012e-20,8.133753824549209e-16
4200,0.08752133788970462,0.0875213381496607,8.495621613753542e-27,-2.1805458345723398e-20,5.19441649139746e-16
4300,0.0875213379284556,0.087521338093522,8.495621613734962e-27,-1.3033439031945134e-20,3.323879609239807e-16
4400,0.08752133795162415,0.08752133805608309,8.495621613723851e-27,-7.720598012108344e-21,2.1269920092159963e-16
4500,0.08752133796530491,0.08752133803154012,8.49562161371729e-27,-4.545107983687257e-21,1.364418810783067e-16
4600,0.08752133797347898,0.08752133801532634,8.495621613713372e-27,-2.6375262632041374e-21,8.732810779353861e-17
4700,0.08752133797827487,0.08752133800484357,8.495621613711071e-27,-1.6213892404292319e-21,5.601790653684013e-17
4800,0.08752133798116303,0.0875213379979087,8.495621613709687e-27,-9.3227049502754e-22,3.573141262068937e-17
4900,0.08752133798289632,0.08752133799334459,8.495621613708856e-27,-5.252602018164301e-22,2.2549703210858763e-17
5000,0.08752133798391856,0.08752133799039652,8.495621613708365e-27,-2.676289292204044e-22,1.4229156198859787e-17
5100,0.08752133798449264,0.08752133798858373,8.49562161370809e-27,-9.194233135516337e-23,9.052465875193393e-18
5200,0.08752133798475968,0.08752133798767087,8.495621613707962e-27,-9.231385081208322e-23,6.543840503321434e-18
5300,0.08752133798487048,0.08752133798725194,8.495621613707909e-27,-1.1167633378852113e-22,5.306532982542352e-18
5400,0.08752133798493023,0.08752133798700733,8.49562161370788e-27,-9.64049592548567e-23,4.628206847870874e-18
5500,0.0875213379849706,0.08752133798682427,8.495621613707861e-27,-3.303632184962242e-23,4.120116703800333e-18
5600,0.08752133798502754,0.08752133798660373,8.495621613707834e-27,-3.32304619090476e-23,3.518699463081577e-18
5700,0.08752133798507802,0.08752133798640403,8.49562161370781e-27,3.1534490116311288e-24,2.9357024009916586e-18
5800,0.08752133798510259,0.08752133798628389,8.495621613707798e-27,6.068218463421027e-25,2.6391634834943003e-18
5900,0.08752133798513799,0.08752133798613214,8.495621613707781e-27,-4.6743288082832826e-24,2.2175093310734278e-18
6000,0.08752133798515759,0.08752133798604517,8.495621613707771e-27,-1.936074488659646e-23,1.9804398260831188e-18
6100,0.08752133798517961,0.0875213379859422,8.495621613707761e-27,-2.4404843964835464e-23,1.7075502550414335e-18
6200,0.08752133798519748,0.0875213379858562,8.495621613707752e-27,-1.5601755850157742e-24,1.4575211424087383e-18
6300,0.08752133798521051,0.08752133798579699,8.495621613707745e-27,2.7424240399159586e-23,1.3153816531445137e-18
6400,0.08752133798522377,0.08752133798572881,8.49562161370774e-27,4.731020789956459e-23,1.1100570193321371e-18
6500,0.08752133798523253,0.08752133798568233,8.495621613707735e-27,3.984796974134263e-23,1.0134922460608756e-18
6600,0.08752133798524579,0.0875213379856307,8.49562161370773e-27,1.6344888568239497e-23,8.601652747983479e-19
6700,0.08752133798525052,0.08752133798559288,8.495621613707727e-27,4.481614606291858e-23,7.69417310254983e-19
6800,0.08752133798525905,0.08752133798555614,8.495621613707722e-27,2.234791503487587e-23,6.726132792805312e-19
6900,0.08752133798526401,0.08752133798551821,8.495621613707721e-27,1.0597884556807443e-24,5.601505465111154e-19
7000,0.0875213379852684,0.08752133798549086,8.495621613707718e-27,2.4047696440280374e-23,5.04023731215967e-19
7100,0.08752133798527521,0.08752133798546075,8.495621613707715e-27,3.6508435803226116e-23,4.293847430828977e-19
7200,0.08752133798527569,0.08752133798543371,8.495621613707715e-27,4.496525477930577e-23,3.426479833491229e-19
7300,0.08752133798527592,0.08752133798541294,8.495621613707715e-27,5.031570474228343e-23,2.898712561708949e-19
7400,0.08752133798528018,0.08752133798539229,8.495621613707714e-27,5.0818943586485954e-23,2.283731406146586e-19
7500,0.08752133798528018,0.0875213379853781,8.495621613707714e-27,1.2662404831925265e-23,1.921033198892113e-19
7600,0.08752133798528018,0.08752133798536488,8.495621613707714e-27,1.2668265774491731e-23,1.7545161110969669e-19
7700,0.08752133798528018,0.08752133798535448,8.495621613707714e-27,1.268566544773594e-23,1.5851711227221204e-19
