name,diffusion_constant,permeability_constant,external_concentration
Trp,6.6e-10,90e-6,25e-6
IPA_imine,6.6e-10,90e-6,0
IPA_imine_dimer,6.6e-10,90e-6,0
CPA,6.6e-10,90e-6,0
PDVA,6.6e-10,90e-6,0
DVA,6.6e-10,90e-6,0
PDV,6.6e-10,90e-6,0
DV,6.6e-10,90e-6,0
PVA,6.6e-10,90e-6,0
PV,6.6e-10,90e-6,0
VA,6.6e-10,90e-6,0
Violacein,6.6e-10,90e-6,0
