start_species,end_species,ratio_endtostart_species,k
IPA_imine_dimer,CPA,1:1,0.0000001
PDVA,PDV,1:1,0.0000001
DVA,DV,1:1,0.0000001
PVA,PV,1:1,0.0000001
VA,Violacein,1:1,0.0000001
